	CA	CDCA	BMCA	DCA	LCA	UDCA	GCA	GCDCA	GDCA	GUDCA	TCA	TCDCA	TDCA	TLCA	TUDCA
L.reuteri	0.747303015	0.000951373	0.79390787	0.181530376	0.00415781	0.005773612	0.000152462	1.34E-04	0.004928264	1.64E-04	0.000668331	0.011094861	0.08438814	3.97E-04	0.002177511
L.reuteri	0.885568255	0.000172642	0.567234146	0.186888511	0.000438395	0.000994964	0.006321942	2.38E-04	0.007025786	1.51E-04	0.561747065	0.046481123	0.691532053	0.000753439	0.004430854
L.reuteri	0.408206613	3.66E-07	0.265499183	0.071646384	0.001439928	0.000498457	0.001369677	4.98E-04	3.74E-03	4.45E-05	0.05161079	0.015965729	0.275126442	3.83E-05	0.002756547
L.reuteri	0.881819089	0.000809937	0.427271246	0.112294905	0.215809103	0.001564499	0.002892296	4.15E-05	0.005059099	3.83E-04	0.361289301	0.04331877	0.544531587	7.75E-05	0.00863306
L.reuteri	0.809827316	0.0016411	0.863933839	0.090006449	0.000195135	0.00422675	0	1.37E-04	2.21E-03	6.45E-05	0	0.009575161	0.048195797	1.66E-04	0.002556543
L.reuteri	1.109719147	0.00151705	1.037739943	0.169596515	0.003300006	0.003976286	0.002234715	2.78E-04	0.015490017	4.45E-04	0.345626548	0.024235334	0.421089977	9.01E-04	0.005132912
L.reuteri	0.920629912	0.003857166	1.048504573	0.5396376	0.000126998	0.012651482	0.001584748	5.33E-06	0.010015953	1.67E-04	0.171423625	0.016738461	0.68813616	2.28E-05	0.010249116
L.reuteri	0.591627535	0.000344222	0.239431603	0.066296465	0.00199687	0.000656837	0.002833514	1.26E-03	0.005897563	1.33E-04	0.39702452	0.025178884	0.339923621	1.93E-04	0.006160158
L.reuteriHQ	1.270513616	0.002538766	1.087948872	0.272313561	0.00074997	0.012791414	0.001531907	1.02E-03	1.06E-02	1.21E-04	0.278851612	0.019280015	0.266398673	8.54E-05	0.005467288
L.reuteriHQ	1.057404782	0.00287072	1.297819662	0.393644249	0.004328385	0.011157253	0.000526416	0.000248469	0.007166914	1.27E-04	0.36349057	0.024629626	0.594636884	0.00023526	0.00789036
L.reuteriHQ	1.90688786	0.003495225	1.363664944	0.549240646	0.002234454	0.01610978	0.005053422	0.000502351	0.01964213	3.13E-04	0.324184476	0.018911613	0.426991948	3.90E-05	0.004305021
L.reuteriHQ	1.45714677	0.003237807	1.222946788	0.430356144	0.002515036	0.012719531	0.010434181	5.68E-04	0.025643595	1.08E-04	1.727422519	0.074314994	1.611620303	1.48E-04	0.012334502
L.reuteriHQ	0.922295837	0.002370435	0.927734402	0.515237347	0.000497999	0.01153956	0.000485539	2.81E-04	0.007315346	1.06E-04	0.166156829	0.010180872	0.438331838	9.04E-06	6.21E-03
L.reuteriHQ	0.996675826	0.000665068	0.667218262	0.15096236	0.000132837	0.003717307	0.004014023	3.75E-04	6.48E-03	1.32E-04	0.599811416	0.038270012	0.439361506	0.000605588	0.010351134
L.reuteriHQ	3.178421657	0.005706184	2.422918172	0.621577643	0.001679531	0.028663608	0.00746189	9.12E-05	0.016544795	2.31E-04	0.715585131	0.048361563	5.21E-01	1.23E-04	1.01E-02
L.reuteriHQ	3.250887419	0.00416327	2.987963246	0.350854771	0.000540893	0.014111078	0.004380421	1.98E-04	7.22E-03	1.22E-04	0.551102116	0.033024712	0.27054087	7.25E-05	0.003617104
HQ	0.881024243	0.002451878	0.617989357	0.356599324	0.002662189	0.006297331	0.00259578	0.000476703	0.027644148	2.96E-04	0.2203716	0.024308875	0.691235305	0.000190827	0.005003079
HQ	1.981834176	0.003971285	1.613212842	0.162223607	0.003679059	0.012119755	0.002987776	2.58E-04	0.005287442	1.71E-04	0.231451623	0.015567483	0.101856193	0.00044994	0.003927694
HQ	0.702360749	0.001099112	0.529180453	0.102652077	0.000840248	0.00480321	0.002324297	2.41E-04	0.011367001	2.09E-04	0.138131448	0.014053255	0.160289149	0.00E+00	0.002578885
HQ	1.123985197	0.001747204	0.487973508	0.183129137	0.00134826	0.005326463	0.002220688	8.43E-05	0.002698044	1.85E-04	0.519785948	0.023140196	0.352599831	0.00E+00	0.00823409
HQ	1.63474881	0.004201361	0.925146523	0.242657988	0.061067106	0.01226027	0.001351304	4.21E-04	0.008104196	1.97E-04	0.297517771	0.017709594	0.311642827	0	0.001872019
HQ	1.178710721	0.005080648	0.790950397	0.196477626	0.003838299	0.012121765	0.003414493	1.50E-04	9.96E-03	2.19E-04	0.495964841	0.037063831	0.26821253	0.000597948	0.006353411
HQ	1.156923779	0.001956413	0.533021702	0.064626581	0.000615594	0.005595711	0.004724615	3.18E-04	0.011123628	3.58E-04	0.755346773	0.037462431	3.79E-01	0	0.008723902
HQ	1.133650769	0.002123603	0.686032766	0.217329521	0.00118562	0.007374462	0.004614031	7.27E-04	0.015074202	3.67E-04	0.397150196	0.023555089	0.396999796	0.00E+00	0.006349736
