ID	H.SRR1927149	H.SRR1929408	H.SRR1929484	H.SRR1929485	H.SRR1929563	H.SRR1929574	H.SRR1930121	H.SRR1930122	H.SRR1930123	H.SRR1930128	H.SRR1930132	H.SRR1930133	H.SRR1930134	H.SRR1930136	H.SRR1930138	H.SRR1930140	H.SRR1930141	H.SRR1930142	H.SRR1930143	H.SRR1930144	H.SRR1930145	H.SRR1930149	H.SRR1930176	H.SRR1930177	H.SRR1930179	H.SRR1930187	H.SRR1930244	
Enterococcus	0.00000000	0.00045074	0.00000000	0.00000000	0.00000000	0.00000000	0.00028504	0.00000000	0.00034761	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028623	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Escherichia	0.00000000	0.00957232	0.02239184	0.02303755	0.00000000	0.00000000	0.00000000	0.00775454	0.00000000	0.00000000	0.00249977	0.00447881	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00063943	0.00000000	0.00000000	0.00000000	0.00257030	0.00000000	0.00618726	0.00000000	0.00000000	
Ethanoligenens	0.00000000	0.00032623	0.00000000	0.00000000	0.00000000	0.00000000	0.00044312	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028255	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Eubacterium	0.00255987	0.00728257	0.01278878	0.02890009	0.00307783	0.01510615	0.00465757	0.00580455	0.00918369	0.00488253	0.14324611	0.05244595	0.00475413	0.00200307	0.00212454	0.04452659	0.00902065	0.00242647	0.00203404	0.00144816	0.01121989	0.00169586	0.00094803	0.04690386	0.00493916	0.00237106	0.06718958	
Faecalibacterium	0.00181032	0.00446945	0.00408146	0.00260090	0.01191100	0.00235065	0.01076113	0.01358492	0.00654768	0.01064128	0.00000000	0.02022685	0.00164383	0.00478947	0.00546685	0.00538014	0.01154878	0.01326843	0.00443430	0.00168800	0.00481989	0.00117176	0.00000000	0.00117834	0.00000000	0.00000000	0.00169610	
Fibrobacter	0.00000000	0.00024441	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Flavonifractor	0.00034968	0.00091767	0.00238470	0.00282414	0.00038601	0.00000000	0.00087188	0.00000000	0.00059560	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00090011	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Fusobacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00027915	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Gordonibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020284	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Haemophilus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00010984	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Haliangium	0.00000000	0.00000000	0.00000000	0.00000000	0.00052658	0.00000000	0.00086616	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031863	0.00125150	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Helicobacter	0.00000000	0.00060361	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00039051	0.00024979	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00140241	0.00000000	0.00000000	0.00000000	0.00093586	0.00000000	0.00000000	0.00000000	0.00718900	0.00000000	0.00000000	
Holdemanella	0.00000000	0.00020091	0.00000000	0.00000000	0.00388287	0.00000000	0.00236933	0.00905023	0.00060691	0.00514501	0.00000000	0.00000000	0.00000000	0.00034154	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00261967	0.00000000	0.00000000	0.00000000	
Holdemania	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024970	0.00000000	0.00032223	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00022707	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Klebsiella	0.00000000	0.00137135	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Lachnoclostridium	0.00132105	0.00213000	0.00000000	0.00000000	0.00039113	0.00104261	0.00337283	0.00130438	0.00365194	0.00062539	0.00000000	0.00000000	0.00111364	0.00000000	0.00000000	0.00110157	0.00337158	0.00000000	0.00000000	0.00000000	0.00038006	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00081174	
Lactobacillus	0.00000000	0.00028205	0.00000000	0.00000000	0.00000000	0.00000000	0.00036777	0.00091834	0.00032386	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00022826	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Lentisphaera	0.00041177	0.00114904	0.00000000	0.00000000	0.00000000	0.00088376	0.00134304	0.00000000	0.00000000	0.00191593	0.00000000	0.00000000	0.00119743	0.00225380	0.00000000	0.00000000	0.00042213	0.00000000	0.00000000	0.00158221	0.00032056	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00097995	
Mahella	0.00000000	0.00022410	0.00000000	0.00000000	0.00000000	0.00000000	0.00029336	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Marvinbryantia	0.00039083	0.00031943	0.00000000	0.00000000	0.00000000	0.00000000	0.00056629	0.00050430	0.00067386	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00044845	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Megasphaera	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00151411	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Methanobrevibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00030882	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Methanomassiliicoccus	0.00000000	0.00027381	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00105358	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017123	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mitsuokella	0.00000000	0.00484457	0.00077540	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mogibacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00038051	0.00069839	0.00000000	0.00129303	0.00000000	0.00000000	0.00095460	0.00000000	0.00000000	0.00000000	0.00000000	0.00044249	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Odoribacter	0.00140003	0.00114393	0.00132300	0.00000000	0.00218764	0.00177964	0.00131080	0.00104830	0.00086769	0.00138563	0.00000000	0.00158098	0.00117578	0.00247458	0.00244736	0.00000000	0.00089196	0.00177437	0.00205121	0.00246950	0.00131563	0.00190874	0.00000000	0.00178598	0.00000000	0.00000000	0.00079730	
Olsenella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00043385	0.00000000	0.00022748	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Oribacterium	0.00000000	0.00037159	0.00000000	0.00000000	0.00000000	0.00043969	0.00064752	0.00000000	0.00370832	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00062558	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00124874	
Oscillibacter	0.00160344	0.00315521	0.00235527	0.00000000	0.00278131	0.00221855	0.00505787	0.00324906	0.00490654	0.00355520	0.00000000	0.00816914	0.00284975	0.00391497	0.00304497	0.00000000	0.00331168	0.00743048	0.00151536	0.00221634	0.00137543	0.00230928	0.00000000	0.00000000	0.00000000	0.00000000	0.00164821	
Paenibacillus	0.00074386	0.00116267	0.00085210	0.00000000	0.00056747	0.00096405	0.00099500	0.00120257	0.00079082	0.00092576	0.00000000	0.00000000	0.00168905	0.00087156	0.00000000	0.00000000	0.00083386	0.00000000	0.00000000	0.00000000	0.00077199	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00089774	
