ID	P.SRR1761664	P.SRR1761665	P.SRR1761666	P.SRR1761667	P.SRR1761668	P.SRR1761669	P.SRR1761670	P.SRR1761671	P.SRR1761672	P.SRR1761673	P.SRR1761674	P.SRR1761675	P.SRR1761698	P.SRR1761699	P.SRR1761700	P.SRR1761701	P.SRR1761702	P.SRR1761703	P.SRR1761704	P.SRR1761705	P.SRR1761706	P.SRR1761707	P.SRR1761708	P.SRR1761709	P.SRR1761710	P.SRR1761711	P.SRR1761712	P.SRR1761713	P.SRR1761714	P.SRR1761715	P.SRR1761716	P.SRR1761717	P.SRR1761718	P.SRR1761719	P.SRR1761720	P.SRR1761721	
Gordonibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00056773	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00038739	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Haemophilus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00272308	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00106964	0.00000000	0.00000000	
Helicobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00185053	0.00099966	0.00000000	0.00466740	0.00015560	0.00000000	0.00000000	0.00054015	0.00000000	0.00000000	0.00000000	0.00000000	0.00032657	0.00000000	0.00000000	0.00235540	0.00094762	0.00037876	0.00000000	
Holdemanella	0.00458889	0.02006378	0.00605077	0.00000000	0.00000000	0.00000000	0.00000000	0.00092846	0.00000000	0.00046892	0.00048886	0.00053558	0.00050194	0.00322491	0.00142469	0.00000000	0.00021880	0.00138134	0.00019494	0.00454839	0.00253148	0.00086021	0.00057198	0.00506155	0.01844429	0.00000000	0.00182726	0.00043008	0.00042776	0.00091564	0.00243981	0.00130038	0.00095474	0.00878713	0.00000000	0.00409000	
Holdemania	0.00000000	0.00053618	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00117925	0.00135865	0.00028261	0.00000000	0.00055608	0.00039005	0.00000000	0.00000000	0.00000000	0.00064822	0.00000000	0.00069000	0.00035253	0.00044862	0.00035010	0.00081673	0.00000000	0.00040326	0.00080882	0.00029670	0.00000000	0.00000000	0.00000000	0.00110423	
Intestinibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032777	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Klebsiella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00063992	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00161767	0.00000000	0.00000000	0.00016986	0.00847281	0.00068243	0.00021846	0.00000000	0.00034246	0.00000000	
Lachnoclostridium	0.00000000	0.00061362	0.00000000	0.00035151	0.00000000	0.00000000	0.00213272	0.00000000	0.00041847	0.00111310	0.00000000	0.00104901	0.00654945	0.00448306	0.00302449	0.00000000	0.00352700	0.00344030	0.00444432	0.00066206	0.00049842	0.00371837	0.00322846	0.00280368	0.00408055	0.00783225	0.00338151	0.00424026	0.00367487	0.00525786	0.00479387	0.00178816	0.00427673	0.00220125	0.00187703	0.00494872	
Lactobacillus	0.00366365	0.00384138	0.00000000	0.00000000	0.00000000	0.00045715	0.00058346	0.00608853	0.00000000	0.00040214	0.00000000	0.00627150	0.00060672	0.01030927	0.00044044	0.00000000	0.00037839	0.00043257	0.00066104	0.00031387	0.00052567	0.00061739	0.00117586	0.00099935	0.00067301	0.00233965	0.00070697	0.00061689	0.00045988	0.00072308	0.00068206	0.00038980	0.00372363	0.00000000	0.00041995	0.00057100	
Lactococcus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00064059	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00668623	0.00000000	0.00000000	0.00014246	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
