ID	P.SRR1761664	P.SRR1761665	P.SRR1761666	P.SRR1761667	P.SRR1761668	P.SRR1761669	P.SRR1761670	P.SRR1761671	P.SRR1761672	P.SRR1761673	P.SRR1761674	P.SRR1761675	P.SRR1761698	P.SRR1761699	P.SRR1761700	P.SRR1761701	P.SRR1761702	P.SRR1761703	P.SRR1761704	P.SRR1761705	P.SRR1761706	P.SRR1761707	P.SRR1761708	P.SRR1761709	P.SRR1761710	P.SRR1761711	P.SRR1761712	P.SRR1761713	P.SRR1761714	P.SRR1761715	P.SRR1761716	P.SRR1761717	P.SRR1761718	P.SRR1761719	P.SRR1761720	P.SRR1761721	
Slackia	0.00000000	0.00078926	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00063744	0.00030943	0.00000000	0.00103340	0.00031841	0.00000000	0.00056716	0.00000000	0.00000000	0.00000000	0.00038782	0.00072714	0.00000000	0.00000000	0.00060611	0.00030851	0.00000000	0.00000000	0.00042518	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Solobacterium	0.00000000	0.00036707	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037800	0.00141838	0.00059094	0.00000000	0.00016398	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00048425	0.00000000	0.00000000	0.00045970	0.00000000	0.00000000	0.00000000	0.00161450	0.00023110	0.00000000	0.00000000	0.00000000	0.00000000	
Sphaerochaeta	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00060936	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037212	0.00000000	0.00000000	0.00029287	0.00047471	0.00094167	0.00000000	0.00000000	0.00000000	0.00044646	0.00031789	0.00000000	0.00000000	0.00064602	0.00089280	0.00000000	0.00068717	0.00000000	0.00028215	0.00000000	0.00000000	0.00000000	0.00000000	
Streptococcus	0.00000000	0.00068978	0.00085325	0.00000000	0.00000000	0.00000000	0.00000000	0.01285258	0.00028786	0.00056155	0.00000000	0.00035859	0.00077708	0.00096575	0.00062614	0.00763737	0.00087852	0.00081377	0.00145633	0.00044910	0.01891385	0.00064469	0.00053485	0.00096274	0.00078680	0.00115151	0.00085659	0.00114678	0.00395380	0.00075409	0.00095381	0.00063613	0.00078179	0.00496258	0.00048150	0.00096281	
Subdoligranulum	0.00105865	0.00573374	0.00109379	0.00265979	0.00128177	0.00153458	0.00218873	0.00169783	0.00221368	0.00722631	0.00088221	0.00238877	0.00252352	0.00716132	0.00196297	0.00000000	0.00244215	0.00188988	0.00327812	0.00073893	0.00729103	0.00177226	0.00123390	0.00186971	0.00300726	0.00275393	0.00206408	0.00225179	0.00796893	0.00248245	0.00231804	0.00117411	0.00382726	0.00381102	0.00757509	0.00885165	
Succinatimonas	0.00854738	0.00088998	0.00000000	0.04204681	0.00430551	0.00060133	0.00387674	0.07842202	0.00000000	0.00000000	0.07378757	0.10090817	0.00000000	0.00683654	0.00062037	0.00000000	0.00000000	0.03958561	0.00000000	0.00717374	0.00014987	0.00000000	0.00000000	0.00000000	0.00000000	0.01636929	0.00000000	0.00000000	0.02029521	0.00049787	0.00032597	0.00087371	0.03878492	0.00000000	0.00302099	0.06986240	
Succinimonas	0.00000000	0.00000000	0.00000000	0.00670615	0.00000000	0.00000000	0.00000000	0.00263506	0.00000000	0.00000000	0.00000000	0.00742694	0.00000000	0.00037856	0.00000000	0.00000000	0.00000000	0.00144797	0.00000000	0.00049270	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00477041	0.00000000	0.00000000	0.00000000	0.00094331	0.00000000	0.00011301	0.00163463	0.00000000	0.00485059	0.00347556	
Sutterella	0.00000000	0.00000000	0.00000000	0.00104992	0.00043921	0.00096952	0.00000000	0.00000000	0.00000000	0.00235475	0.00000000	0.00119161	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Tannerella	0.00000000	0.00000000	0.00000000	0.00048033	0.00191428	0.00000000	0.00159147	0.00000000	0.00159651	0.00000000	0.00000000	0.00000000	0.00000000	0.00018969	0.00048195	0.00000000	0.00000000	0.00000000	0.00000000	0.00062198	0.00000000	0.00025271	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00036639	0.00000000	0.00073683	0.00000000	0.00048062	0.00000000	0.00000000	
Terrisporobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019376	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Treponema	0.03040413	0.08126795	0.00553221	0.00289456	0.04058106	0.00134755	0.00132254	0.06302609	0.03514303	0.08256502	0.04150370	0.01265247	0.12793391	0.06140989	0.10783283	0.00000000	0.00102959	0.01880620	0.00116134	0.12437197	0.00052793	0.00120589	0.27662385	0.00984516	0.03687915	0.00215709	0.02595266	0.05887208	0.00109163	0.04398244	0.00250703	0.03520914	0.00092370	0.26037434	0.00081832	0.00066317	
Turicibacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024610	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00054075	0.00000000	0.00000000	0.00000000	0.00000000	0.00023308	0.00000000	0.00000000	0.00000000	0.00000000	
Tyzzerella	0.00000000	0.00000000	0.00072897	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00040745	0.00031045	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00037466	0.00000000	0.00027619	0.00055587	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Ureaplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00232900	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Veillonella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00251188	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Weissella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00185148	0.00000000	0.00000000	0.00000000	0.00000000	0.00964523	0.00000000	0.00000000	0.00008923	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
