ID	A.SRS011061	A.SRS011134	A.SRS011239	A.SRS011271	A.SRS011302	A.SRS011405	A.SRS011452	A.SRS011529	A.SRS011586	A.SRS012273	A.SRS012902	A.SRS013158	A.SRS013215	A.SRS013476	A.SRS013521	A.SRS013687	A.SRS013800	A.SRS013951	A.SRS014235	A.SRS014287	A.SRS014313	A.SRS014459	A.SRS014613	A.SRS014683	A.SRS014923	A.SRS014979	A.SRS015065	A.SRS015133	A.SRS015190	A.SRS015217	A.SRS015264	A.SRS015369	A.SRS015578	A.SRS015663	A.SRS015782	A.SRS015794	A.SRS015854	A.SRS015960	A.SRS016018	A.SRS016056	A.SRS016095	A.SRS016203	A.SRS016267	A.SRS016335	A.SRS016495	A.SRS016517	A.SRS016585	A.SRS016753	A.SRS016954	A.SRS016989	A.SRS017103	A.SRS017191	A.SRS017247	A.SRS017307	A.SRS017433	A.SRS017521	A.SRS017701	A.SRS017821	A.SRS018133	A.SRS018313	A.SRS018351	A.SRS018427	A.SRS018575	A.SRS018656	A.SRS018817	A.SRS019030	A.SRS019161	A.SRS019267	A.SRS019397	A.SRS019582	A.SRS019601	A.SRS019685	A.SRS019787	A.SRS019910	A.SRS019968	A.SRS020233	A.SRS020328	A.SRS020869	A.SRS021484	A.SRS021948	A.SRS022071	A.SRS022137	A.SRS022524	A.SRS022609	A.SRS022713	A.SRS023176	A.SRS023346	A.SRS023526	A.SRS023583	A.SRS023829	A.SRS023914	A.SRS023971	A.SRS024009	A.SRS024075	A.SRS024132	A.SRS024265	A.SRS024331	A.SRS024388	A.SRS024435	A.SRS024549	A.SRS024625	A.SRS042284	A.SRS042628	A.SRS043001	A.SRS043411	A.SRS043701	A.SRS045004	A.SRS045645	A.SRS045713	A.SRS047014	A.SRS047044	A.SRS048164	A.SRS048870	A.SRS049164	A.SRS049712	A.SRS049900	A.SRS049959	A.SRS049995	A.SRS050299	A.SRS050422	A.SRS050752	A.SRS050925	A.SRS051031	A.SRS051882	A.SRS052027	A.SRS052697	A.SRS053214	A.SRS053335	A.SRS053398	A.SRS054590	A.SRS054956	A.SRS055982	A.SRS056259	A.SRS056519	A.SRS057478	A.SRS057717	A.SRS058723	A.SRS058770	A.SRS062427	A.SRS063040	A.SRS063985	A.SRS064276	A.SRS064557	A.SRS064645	A.SRS065504	A.SRS075398	A.SRS077730	A.SRS078176	
Dorea	0.00000000	0.00497441	0.00022358	0.00383457	0.00102771	0.00036077	0.00000000	0.00050369	0.00190621	0.00099008	0.00000000	0.00008167	0.00000000	0.00054554	0.00000000	0.00039217	0.00000000	0.00153795	0.00096044	0.00107858	0.00056467	0.00141639	0.00035875	0.00052912	0.00563832	0.00230326	0.00132071	0.00280793	0.00013610	0.00762821	0.00038588	0.00000000	0.00094945	0.00077042	0.00563762	0.00013661	0.00149342	0.00000000	0.00021026	0.00000000	0.00380768	0.00000000	0.00033830	0.00058395	0.00206568	0.00248190	0.00000000	0.00000000	0.00042728	0.00023749	0.00029069	0.00035313	0.00000000	0.00027210	0.00026782	0.00432614	0.00000000	0.00033582	0.00000000	0.02353110	0.00060451	0.00134613	0.00000000	0.00043621	0.00022136	0.00028808	0.00074052	0.00032146	0.00022251	0.00069040	0.00043724	0.00056702	0.00000000	0.00030387	0.00044437	0.00086604	0.00055279	0.00319926	0.00017350	0.00019875	0.00065202	0.00014838	0.00051862	0.00052764	0.00016536	0.00025296	0.00000000	0.00066962	0.00010246	0.00000000	0.00064525	0.00000000	0.00021547	0.00035336	0.00104557	0.00033441	0.00035045	0.00000000	0.00035849	0.00000000	0.00000000	0.00038731	0.00211835	0.00021317	0.00032353	0.00041297	0.00024416	0.00024122	0.00028070	0.00061528	0.00017052	0.00064706	0.00044683	0.00053891	0.01371721	0.00025277	0.00109810	0.00042645	0.00000000	0.00340860	0.00108644	0.00077704	0.00111152	0.00059432	0.00028088	0.00106083	0.00038693	0.00044073	0.00027320	0.00000000	0.00094672	0.00026080	0.00046266	0.00011154	0.00031466	0.00000000	0.00054583	0.00011333	0.00029561	0.00134382	0.00053954	0.00334227	0.00008494	0.00000000	0.00101660	0.00000000	0.00042022	0.00027261	
Dysgonomonas	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013247	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032905	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034121	0.00000000	0.00000000	0.00000000	0.00030092	0.00000000	0.00000000	0.00092408	0.00000000	0.00000000	0.00023509	0.00000000	0.00000000	0.00000000	0.00000000	0.00029159	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020530	0.00000000	0.00063129	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00010482	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023390	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020246	0.00000000	0.00000000	0.00000000	0.00015035	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00050990	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Eggerthella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011665	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023116	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00096206	0.00016731	0.00007230	0.00000000	0.00000000	0.00027559	0.00000000	0.00000000	0.00000000	0.00000000	0.00014814	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020660	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Enterobacter	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00004457	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Enterococcus	0.00000000	0.00028120	0.00017589	0.00022258	0.00125534	0.00000000	0.00000000	0.00019251	0.00045629	0.00054326	0.00000000	0.00000000	0.00000000	0.00037693	0.00000000	0.00018116	0.00000000	0.00057728	0.00030241	0.00000000	0.00000000	0.00029804	0.00015493	0.00000000	0.00050016	0.00057929	0.00030841	0.00052216	0.00000000	0.00103831	0.00000000	0.00000000	0.00023721	0.00034395	0.00034566	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020254	0.00000000	0.00000000	0.00034077	0.00052732	0.00054491	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00008092	0.00000000	0.00019614	0.00000000	0.00012977	0.00000000	0.00000000	0.00034077	0.00025198	0.00000000	0.00000000	0.00010269	0.00000000	0.00030033	0.00000000	0.00000000	0.00025000	0.00042878	0.00027786	0.00000000	0.00000000	0.00000000	0.00026646	0.00055067	0.00039758	0.00014210	0.00008520	0.00022522	0.00000000	0.00000000	0.00013465	0.00000000	0.00000000	0.00000000	0.00011638	0.00000000	0.00000000	0.00017200	0.00000000	0.00000000	0.00000000	0.00030059	0.00050620	0.00000000	0.00000000	0.00017162	0.00000000	0.00000000	0.00000000	0.00053133	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00048701	0.00000000	0.00000000	0.00000000	0.00038029	0.00000000	0.00000000	0.00040744	0.00039493	0.00000000	0.00023232	0.00029673	0.00020465	0.00033391	0.00016412	0.00000000	0.00053669	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011092	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025284	0.00039414	0.00035365	0.00000000	0.00000000	0.00024435	0.00000000	0.00000000	0.00042857	
Enterorhabdus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00044863	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Erysipelatoclostridium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031250	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032069	0.00000000	0.00000000	0.00655387	0.00006209	0.00000000	0.00000000	0.00111548	0.00000000	0.00004931	0.00012827	0.00000000	0.00068809	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00025736	0.00000000	0.00000000	0.00000000	0.00069734	0.00000000	0.00000000	0.00000000	0.00176011	0.00061419	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00133096	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011413	0.00000000	0.00000000	0.00000000	0.00000000	0.00025025	0.00000000	0.00000000	0.00000000	0.00000000	0.00013940	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00031731	0.00000000	0.00000000	0.00028211	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00006873	0.00000000	0.00000000	0.00000000	0.00000000	0.00100510	0.00000000	0.00000000	0.00000000	0.00010753	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Escherichia	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00188472	0.00015971	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00023423	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00016326	0.00020294	0.12051087	0.00000000	0.00000000	0.00000000	0.00000000	0.00381883	0.00000000	0.00000000	0.00000000	0.00297813	0.00000000	0.00000000	0.00000000	0.00122534	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00045857	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029853	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00010297	0.00000000	0.00000000	0.00000000	0.00092164	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00134423	0.00000000	0.00000000	0.00000000	0.00000000	0.00005691	0.00000000	
Ethanoligenens	0.00000000	0.00017967	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020741	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00011296	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00028801	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024447	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00026630	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029622	0.00000000	0.00000000	0.00000000	0.00025384	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00008779	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Eubacterium	0.00292035	0.00441217	0.01179946	0.05093943	0.01581193	0.00369515	0.00108248	0.01505772	0.01576521	0.00727451	0.00000000	0.00408752	0.00000000	0.01494360	0.00077672	0.00825340	0.00042976	0.05157194	0.04465422	0.04947311	0.02798640	0.05021394	0.02708440	0.00662051	0.02250278	0.08737883	0.06957962	0.02115759	0.00459620	0.10343638	0.01666284	0.00044858	0.04224910	0.02137120	0.04652627	0.00597529	0.04421658	0.00064784	0.00435795	0.00083567	0.01192134	0.04658494	0.00842625	0.01551258	0.01502034	0.02725530	0.00000000	0.00328527	0.02046167	0.00637218	0.00975298	0.02661845	0.00174176	0.01857604	0.00594177	0.01059877	0.00735175	0.00402780	0.00013319	0.04435015	0.00567304	0.02667003	0.00557762	0.01025931	0.00252248	0.01502246	0.04189719	0.02800446	0.00845124	0.00927311	0.02872345	0.01897879	0.01204522	0.00293735	0.03730579	0.00881795	0.00854793	0.01178145	0.01163070	0.00419655	0.01113467	0.01539293	0.02543889	0.00775074	0.00212200	0.00033108	0.00757190	0.01590510	0.00158223	0.00000000	0.01026574	0.00021665	0.00097626	0.01063337	0.01901319	0.01118476	0.01239925	0.00295081	0.00447165	0.00029223	0.00082705	0.02127876	0.03669304	0.01474729	0.01052200	0.01031084	0.00946491	0.00322208	0.00096466	0.02378265	0.01257345	0.01548808	0.02708144	0.01901223	0.04729050	0.00415550	0.00988343	0.00255809	0.00134740	0.13519717	0.00643957	0.03629112	0.01702203	0.03702500	0.02701099	0.04761591	0.00876257	0.04814186	0.02128697	0.01256440	0.02896579	0.01705985	0.00489983	0.00879070	0.00723071	0.00231387	0.06422662	0.00224018	0.01079480	0.03248882	0.01117837	0.08368002	0.00508539	0.00178757	0.05991101	0.00000000	0.00530621	0.04257095	
Faecalibacterium	0.00844037	0.01514359	0.01524148	0.00843770	0.07717101	0.00090294	0.00028776	0.00163440	0.01405854	0.00973769	0.00000000	0.00269922	0.00000000	0.00758469	0.00090524	0.01492622	0.00019398	0.06066530	0.02088124	0.09469741	0.00378641	0.05531347	0.01013848	0.01413080	0.01106476	0.00613571	0.04704137	0.06103017	0.00101770	0.01435472	0.04493937	0.00000000	0.02123973	0.03027690	0.00960130	0.00234719	0.01577559	0.00654500	0.00316757	0.00044875	0.00196889	0.00972241	0.00024313	0.01011566	0.04578934	0.00302506	0.00000000	0.00051093	0.04786014	0.00384921	0.00751577	0.00175557	0.00064337	0.02899573	0.00745692	0.01284803	0.00065385	0.00088469	0.00000000	0.01400441	0.04365572	0.01016429	0.02144418	0.00373456	0.02512060	0.02261764	0.03602066	0.00079038	0.02119360	0.02062503	0.00179960	0.02040595	0.02986646	0.00349484	0.00554545	0.00878014	0.02191105	0.00813296	0.01674886	0.00309597	0.01641435	0.00224046	0.01830311	0.01156804	0.00014297	0.00000000	0.00083626	0.00975318	0.00047006	0.00000000	0.01354061	0.00059040	0.00294467	0.00471543	0.01609918	0.02523215	0.00216063	0.00053352	0.00452221	0.00014815	0.01773465	0.00298379	0.08182454	0.00920408	0.00391021	0.00659745	0.00179125	0.00514818	0.00091850	0.07929133	0.00114807	0.02501556	0.00745887	0.07233524	0.01568592	0.00120810	0.01803053	0.01381233	0.00000000	0.06024624	0.01910754	0.02192344	0.01505227	0.00657361	0.00578203	0.02129440	0.00892599	0.00536910	0.02275516	0.00000000	0.04061428	0.00694746	0.01066763	0.00396400	0.00000000	0.00000000	0.00660849	0.00303067	0.00916016	0.01477934	0.10813754	0.04021979	0.00340921	0.00039261	0.00673057	0.00000000	0.01204537	0.01047188	
Faecalitalea	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00018305	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Flavonifractor	0.00000000	0.00022241	0.00017894	0.00014014	0.00103673	0.00000000	0.00000000	0.00000000	0.00043735	0.00056082	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00032832	0.00000000	0.00026576	0.00031912	0.00044119	0.00000000	0.00038538	0.00013366	0.00032241	0.00081914	0.00061562	0.00035613	0.00026626	0.00009739	0.00032822	0.00080947	0.00000000	0.00008498	0.00068371	0.00066145	0.00028175	0.00000000	0.00050511	0.00027310	0.00000000	0.00000000	0.00000000	0.00039087	0.00056717	0.00142045	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012377	0.00000000	0.00015892	0.00006674	0.00217876	0.00000000	0.00000000	0.00000000	0.00000000	0.00155269	0.00038473	0.00057967	0.00000000	0.00023524	0.00032819	0.00000000	0.00000000	0.00000000	0.00046420	0.00136149	0.00033818	0.00000000	0.00000000	0.00000000	0.00062644	0.00047180	0.00032517	0.00024845	0.00000000	0.00044585	0.00015213	0.00034143	0.00011045	0.00068644	0.00019275	0.00095488	0.00012611	0.00000000	0.00000000	0.00043429	0.00000000	0.00000000	0.00000000	0.00021391	0.00000000	0.00000000	0.00019333	0.00009646	0.00007803	0.00000000	0.00000000	0.00154892	0.00000000	0.00032290	0.00016580	0.00000000	0.00000000	0.00028183	0.00032280	0.00000000	0.00000000	0.00078739	0.00025283	0.00000000	0.00042279	0.00100671	0.00000000	0.00000000	0.00037527	0.00035154	0.00050485	0.00018596	0.00017265	0.00000000	0.00017577	0.00050642	0.00020085	0.00040353	0.00027806	0.00093275	0.00000000	0.00031875	0.00018697	0.00069745	0.00000000	0.00000000	0.00017817	0.00000000	0.00017938	0.00000000	0.00084056	0.00000000	0.00000000	0.00022776	0.00011804	0.00069695	0.00000000	
Fusobacterium	0.00000000	0.00017413	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00024558	0.00000000	0.00000000	0.00000000	0.00020396	0.00000000	0.00000000	0.00000000	0.00033602	0.00000000	0.00000000	0.00000000	0.00016424	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00012596	0.00000000	0.00000000	0.00000000	0.00020373	0.00037767	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00309407	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019912	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00013779	0.00000000	0.00000000	0.00000000	0.00013657	0.00013438	0.00000000	0.00000000	0.00000000	0.00000000	0.00312267	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00034576	0.00000000	0.00000000	0.00000000	0.00018656	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00022293	0.00000000	0.00000000	0.00000000	0.00000000	0.00012072	0.00029070	0.00000000	0.00000000	0.00021922	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00007811	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
