ID	E.SRR341616	E.SRR341617	E.SRR341618	E.SRR341619	E.SRR341620	E.SRR341621	E.SRR341622	E.SRR341623	E.SRR341624	E.SRR341625	E.SRR341626	E.SRR341627	E.SRR341628	E.SRR341629	E.SRR341630	E.SRR341631	E.SRR341632	E.SRR341633	E.SRR341634	E.SRR341635	E.SRR341636	E.SRR341637	E.SRR341638	E.SRR341639	E.SRR341640	E.SRR341641	E.SRR341642	E.SRR341643	E.SRR341644	E.SRR341645	E.SRR341646	E.SRR341647	E.SRR341648	E.SRR341649	E.SRR341650	E.SRR341651	E.SRR341652	E.SRR341653	E.SRR341690	E.SRR341691	E.SRR341692	E.SRR341693	E.SRR341694	E.SRR341695	E.SRR341696	E.SRR341697	E.SRR341698	E.SRR341699	E.SRR341700	E.SRR341701	E.SRR341702	E.SRR341703	E.SRR341704	E.SRR341705	E.SRR341706	E.SRR341707	E.SRR341708	E.SRR341709	E.SRR341710	E.SRR341711	E.SRR341712	E.SRR341713	E.SRR341714	E.SRR341715	E.SRR341716	E.SRR341717	E.SRR341718	E.SRR341719	E.SRR341720	E.SRR341721	E.SRR341722	E.SRR341723	x
Selenomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00053578	0	0	0	0	0	0	0	0	0	0.00043692	0	0	0	0	0	0	0	0	
Streptococcus	0	0	0	0	0.00068622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00067595	0	0.00073017	0	0	0	0.00055338	0	0	0.02344933	0.00503361	0	0	0.00045051	0	0.00227009	0.01828912	0	0	0	0	0	0	0	0.14099052	0	0.00072388	0	0.01122824	0	0.00050671	0	0	0.00055709	0	0	0.00669197	0	0	0	0	0	0	0	0	
Subdoligranulum	0.00323122	0	0.00063531	0	0.00152535	0.0010245	0	0	0	0	0	0	0	0	0	0	0	0.01339907	0	0.00077815	0.00771149	0	0	0.0006577	0	0.00103262	0	0.00100406	0	0.00158928	0.00052576	0.00103427	0.00250161	0.00082483	0	0	0.00067986	0.00933923	0	0.00083446	0.00047385	0.00051443	0	0.00076123	0.00024774	0	0.01244322	0.00075703	0.00072729	0	0.03667209	0	0.00137319	0.00415698	0.00095807	0.00315377	0.00077298	0.00463564	0.00090109	0.00248665	0.00817353	0.00075917	0.00184547	0.00201055	0.01186237	0	0.00101945	0	0.00095941	0.00429772	0	0.01288469	
Succinatimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04615618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02324105	0	
Succinimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00137177	0	
Succinispira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Sutterella	0.00159643	0.00061453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00438203	0	0	0	0	0	0.00513279	0	0	0	0	0.00317559	0	0	0	0	0.00775858	0	0	0.00176976	0.00041601	0.00559165	0	0.0013573	0	0.00248814	0	0	0	0.00605974	0.00708716	0	0.00739667	0	0	0	0	0	0	0	0	0.00670469	0.00029593	0	0	0	0.0015815	0	0.00181431	0.00049984	0	0	0.00202749	0.00067355	0	
Tannerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00031069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Terrisporobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0046134	0	0	0	0	0	0	0.00055184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Treponema	0	0	0.00048419	0	0.00048748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00097825	0	0.00073159	0	0	0	0	0	0	0	0	0	0	0.00086603	0	0	0	0	0	0	0	0	0	0	0	0	0.00072092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Tyzzerella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00262158	0.00760222	0	0.00061235	0	0	0	0.00096693	0	0	0	0.00068375	0.00113122	0	0	0.00103244	0	0.001145	0.0005962	0.00071338	0.00112079	0	0	0.00090892	0	0	0	0.00033526	0	0.00153893	0	0	0	0	0.00078991	0.02039525	0.00407776	0.0004437	0	0.00086359	0.00149005	0	0	0	0	0.00956135	0	0.00075645	0	0	0	0	0	0	0	0	
Veillonella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00022862	0	0	0.00313166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00086895	0	0	0	0	0	0	0	0.0264768	0	0	0	0.01465555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
