ID	E.SRR341616	E.SRR341617	E.SRR341618	E.SRR341619	E.SRR341620	E.SRR341621	E.SRR341622	E.SRR341623	E.SRR341624	E.SRR341625	E.SRR341626	E.SRR341627	E.SRR341628	E.SRR341629	E.SRR341630	E.SRR341631	E.SRR341632	E.SRR341633	E.SRR341634	E.SRR341635	E.SRR341636	E.SRR341637	E.SRR341638	E.SRR341639	E.SRR341640	E.SRR341641	E.SRR341642	E.SRR341643	E.SRR341644	E.SRR341645	E.SRR341646	E.SRR341647	E.SRR341648	E.SRR341649	E.SRR341650	E.SRR341651	E.SRR341652	E.SRR341653	E.SRR341690	E.SRR341691	E.SRR341692	E.SRR341693	E.SRR341694	E.SRR341695	E.SRR341696	E.SRR341697	E.SRR341698	E.SRR341699	E.SRR341700	E.SRR341701	E.SRR341702	E.SRR341703	E.SRR341704	E.SRR341705	E.SRR341706	E.SRR341707	E.SRR341708	E.SRR341709	E.SRR341710	E.SRR341711	E.SRR341712	E.SRR341713	E.SRR341714	E.SRR341715	E.SRR341716	E.SRR341717	E.SRR341718	E.SRR341719	E.SRR341720	E.SRR341721	E.SRR341722	E.SRR341723	x
Coprococcus	0	0.00089077	0.00152728	0.00158898	0.00356618	0	0	0.00573082	0	0.0034074	0	0	0.00275948	0	0	0	0.00088317	0.00042116	0.00167339	0.00099469	0.00130797	0.00297633	0	0.00083747	0	0	0.00079235	0.00367874	0	0.00165623	0	0.00196369	0.01150675	0.00157792	0	0	0.005563	0.00061774	0	0.00082974	0.00383977	0	0	0.01158484	0.00036174	0.0004823	0.00335914	0.00137266	0.00136776	0	0.01230204	0.00514546	0.00132108	0.00825756	0.00732403	0.00250468	0.00584972	0.00403901	0	0.00097267	0	0.00235572	0.00181095	0.00260023	0.00502462	0.0022092	0	0.00123817	0.00073374	0.00420239	0	0	
Dialister	0	0	0	0	0	0	0	0	0	0	0	0	0.00412722	0.00551338	0	0	0	0	0.0147078	0	0.00190214	0	0	0	0	0	0	0	0	0	0	0	0.00297076	0	0	0	0	0	0	0	0	0	0	0	0	0.0105938	0	0.00495561	0	0	0	0	0	0	0	0	0	0	0.00558498	0.01636446	0.0156093	0	0	0.00523505	0	0	0	0	0.01193473	0.03773254	0	0	
Dorea	0	0	0.00072151	0	0.00082615	0	0	0.00107227	0	0	0	0	0.00265737	0	0	0	0.00105104	0.00065055	0	0	0.00079963	0	0	0.00066856	0	0	0	0.0016343	0.00033758	0.00091672	0	0.00126606	0.00108316	0.00071236	0	0	0.0056492	0.00284629	0	0.0007284	0.00075962	0	0	0.00102376	0.00026956	0.00098248	0.00102056	0.00052587	0.00113853	0	0.00150474	0.01465614	0.00100766	0.00089273	0.00115894	0.00203218	0.00287421	0.00083679	0.00048009	0.00053732	0.001478	0.00197545	0.00140865	0.01125272	0.00070862	0	0	0	0.00055124	0	0	0.00055216	
Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00145562	0	0	0	0	0	0	0.01801686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Enterococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00063497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007087	0	0	0.00070259	0	0.00079933	0	0.00054359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Erysipelatoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003973	0	0	0	0.00286345	0.00021799	0	0	0	0	0	0.0016732	0.0015362	0	0	0	0	0	0	0	0	
Escherichia	0	0	0	0	0	0	0	0	0.00108949	0.00284671	0.02433651	0	0.00058519	0	0.01632516	0.00155079	0.00061546	0.0027729	0	0	0.00326848	0	0.01051449	0	0	0	0	0	0.00844028	0	0.00046138	0	0	0	0	0	0	0.01167015	0.00241621	0	0	0.00041832	0.0071644	0	0.00930972	0	0	0	0.01374032	0.00421461	0	0	0	0	0	0	0	0	0.00039834	0	0	0	0.06048993	0	0	0	0	0	0	0	0.00071471	0.01665799	
Eubacterium	0.08073736	0.05223724	0.05204997	0.03332831	0.06997887	0.01633185	0.01243124	0.01942743	0	0.04184206	0	0.11394062	0.21842257	0.00263332	0.00333174	0.00064968	0.01118838	0.00449203	0.00991141	0.02477953	0.05234642	0.04967068	0.00188487	0.01759751	0.00395811	0.00174757	0.02497769	0.03480638	0.00575862	0.01087926	0.0004472	0.02987262	0.0328974	0.06263249	0.00235666	0.0589612	0.06804534	0.01796451	0	0.03529042	0.03612262	0.00103202	0	0.04306189	0.0112469	0.00914164	0.09352227	0.03364479	0.14653345	0	0.02666344	0.00484749	0.08215419	0.05826549	0.06690743	0.08080963	0.08313782	0.01827013	0.02056749	0.01365139	0.07349437	0.05573636	0.07621138	0.10642191	0.03494553	0.00524942	0.03307785	0.03421377	0.01328222	0.00543017	0.00767871	0.01185449	
Faecalibacterium	0.02423254	0.03220301	0.01257093	0.04271837	0.0449522	0.05125212	0.00416733	0.00670213	0.008855	0.00323359	0	0.02704356	0.02401717	0.02920135	0.0289396	0.00324942	0.00219801	0.0068588	0.00342824	0.00408924	0.03782411	0.00436727	0.00157603	0.04888005	0.00759522	0.02745799	0.07758301	0.00297432	0	0.00873736	0.03048191	0.01667594	0.00261797	0.02737148	0.0022318	0.00493691	0.025286	0.00307467	0.04316696	0.08542417	0.01694969	0.03180809	0	0.02862432	0.0080835	0.11996898	0.07624149	0.02163793	0.05016288	0.00069991	0.01972225	0.00065623	0.16920979	0.0424459	0.03494154	0.07281466	0.06250735	0.02003829	0.04354171	0.00373935	0.00971823	0.02468303	0.07058622	0.03870753	0.02644233	0.00072808	0.08817791	0.00807427	0.06628604	0.03464632	0.02005603	0.08363126	
Flavonifractor	0	0	0	0	0	0	0	0	0.00188559	0	0	0.00112464	0	0	0	0	0	0	0	0	0.00121814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036284	0	0	0	0	0	0	0	0	0	0.00049076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Fusobacterium	0.00178726	0	0	0	0	0	0	0	0.01394472	0	0	0	0	0	0	0	0.00147269	0.02187636	0	0	0.00443225	0	0	0	0.02976421	0	0	0	0.01930693	0	0	0	0	0	0.01928408	0.03578696	0.05076967	0	0	0	0	0.0215653	0	0	0.01026813	0	0	0	0	0.02066818	0	0.00927337	0.00053414	0	0	0	0	0	0	0	0	0	0	0	0	0.00375753	0	0	0	0	0	0	
Haemophilus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00558935	0	0	0.00924631	0	0	0	0	0	0	0.00316446	0	0.00239761	0	0	0	0	0	0.0032234	0	0	0	0.00182609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Holdemanella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02006225	0	0	0	0	0	0	0.00071032	0	0	0	0.00052232	0.00052656	0	0	0	0	0	0	0	0.04576114	0	0	0	0	0	0	0	0	
Intestinibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00107032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Klebsiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04252768	0	0	0	0	0	0	0	0.00330799	0	0	0	0	0	0	0.00101943	0	0	0	0	0	0	0	0	0	0	0.00262901	0	0	0	0	0	0	0	0.00315302	0	
Lachnoclostridium	0	0	0.00309723	0	0.00262902	0	0	0.00237386	0	0	0	0	0.00107441	0	0.00258227	0	0.00187886	0.00079615	0	0	0.00237488	0	0	0.00060197	0.00021389	0	0.00094885	0.00235907	0.00347481	0.002249	0.00038053	0.00402518	0	0.00312331	0	0	0.00128268	0.00093449	0	0.00062786	0.00173888	0	0.00034737	0.00087169	0	0.00181544	0.00071979	0.00231877	0.00201347	0	0.00217881	0.00075719	0	0.00292785	0.00098908	0.0019167	0.00044801	0.00122544	0.00050358	0.00112683	0	0.00555587	0	0.00157099	0.00180011	0.00460115	0	0	0	0.00090739	0	0.00058876	
Lactobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12417734	0	0	0	0.00073053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Marvinbryantia	0	0	0	0	0.00088116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00065147	0	0	0	0	0	0	0	0.00051874	0	0	0	0	0	0	0	0	0	0	0.00128179	0	0	0	0.00069008	0	0	0	0	0	0	0	0.00113877	0	0	0	0	0	0	0	0	
Megamonas	0.05030874	0.0660951	0	0	0	0	0.04192305	0	0	0	0	0	0	0	0	0	0	0	0	0.0098838	0	0	0	0	0	0	0	0	0	0	0	0	0.03620365	0	0	0	0.02593806	0	0.05774557	0	0	0.00390198	0	0	0.07035458	0	0	0	0	0.01707275	0	0	0	0	0	0.00144057	0	0	0	0	0.012117	0.0472829	0	0	0	0	0	0	0.04160723	0	0	0	
Megasphaera	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00080195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Mitsuokella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0002308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Odoribacter	0	0	0	0	0.00484216	0	0	0.00142335	0	0	0.0109859	0.00201966	0	0	0	0	0	0.00964302	0	0.01125181	0	0	0	0.00183081	0.002025	0	0.00069674	0	0	0	0	0.00104933	0.00062721	0	0	0	0	0	0	0	0	0	0	0	0.00047615	0	0.00342638	0	0	0	0.00112935	0	0	0	0	0	0.00049296	0	0.00358625	0.00072881	0	0	0	0	0.00023764	0	0	0	0	0	0	0	
Oribacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00037265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Oscillibacter	0	0	0	0	0.00069285	0.0006465	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00066632	0	0	0	0	0	0.00358377	0	0.00066887	0	0	0	0.00096918	0.00151132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00303119	0	0	0.00189925	0	0	0.00100568	0.00547213	0	0	0.0087605	0	0.00114671	0	0	0	0	0	0	0	0	0	0.01029531	0	0	
Paenibacillus	0	0	0.00056555	0	0.00102104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00055735	0	0.00071825	0	0	0.00046757	0.00068896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00117656	0	0	0.00065896	0	0	0	0.00056167	0	0	0	0	0	0	0	0	0	0	0	0.00101603	0	0	
Parabacteroides	0.00179792	0.00183806	0.00209546	0	0.01297417	0.02373222	0.00255422	0.00235011	0.02092976	0.00293273	0.0164992	0	0.00340625	0	0.00282174	0.00336204	0.00867603	0.04439563	0.00172171	0.00393901	0	0.00195204	0.01707651	0.03180601	0.02191352	0.00223087	0.00534814	0.00475603	0.01890614	0.00200563	0.0176041	0.001767	0.0029432	0.0021999	0.00877245	0.03152952	0.00081946	0.00781256	0.03458237	0.00274543	0.00322107	0.00341358	0.002024	0	0.01211918	0.04821478	0.015214	0.00464806	0.00139942	0.01651028	0.00216612	0	0.00135222	0.00143837	0.00202174	0.00087129	0.01043705	0.0039664	0.01030141	0.00541107	0	0.01787689	0.00171169	0	0.00169551	0.00907764	0.01188242	0.00438587	0.00282611	0.01581612	0.0033524	0.00427531	
