ID	D.MH0001	D.MH0002	D.MH0003	D.MH0004	D.MH0005	D.MH0006	D.MH0007	D.MH0008	D.MH0009	D.MH0010	D.MH0011	D.MH0012	D.MH0013	D.MH0014	D.MH0015	D.MH0016	D.MH0017	D.MH0018	D.MH0019	D.MH0020	D.MH0021	D.MH0022	D.MH0023	D.MH0024	D.MH0025	D.MH0026	D.MH0027	D.MH0028	D.MH0030	D.MH0031	D.MH0032	D.MH0033	D.MH0034	D.MH0035	D.MH0036	D.MH0037	D.MH0038	D.MH0039	D.MH0040	D.MH0041	D.MH0042	D.MH0043	D.MH0044	D.MH0045	D.MH0046	D.MH0047	D.MH0048	D.MH0049	D.MH0050	D.MH0051	D.MH0052	D.MH0053	D.MH0054	D.MH0055	D.MH0056	D.MH0057	D.MH0058	D.MH0059	D.MH0060	D.MH0061	D.MH0062	D.MH0063	D.MH0064	D.MH0065	D.MH0066	D.MH0067	D.MH0068	D.MH0069	D.MH0070	D.MH0071	D.MH0072	D.MH0073	D.MH0074	D.MH0075	D.MH0076	D.MH0077	D.MH0078	D.MH0079	D.MH0080	D.MH0081	D.MH0082	D.MH0083	D.MH0084	D.MH0085	D.MH0086	
Mitsuokella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00188062	0.00000000	0.00645185	0.00000000	0.00000000	0.00523224	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00078898	0.00000000	0.02109641	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00886969	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00174385	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mogibacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00021587	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Mycoplasma	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00020101	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Odoribacter	0.00000000	0.00517681	0.00805750	0.00000000	0.00000000	0.00548861	0.00000000	0.00000000	0.00116831	0.00000000	0.00611997	0.00662790	0.00000000	0.00053654	0.00000000	0.02328380	0.00000000	0.00000000	0.00000000	0.00998963	0.00500111	0.00000000	0.00000000	0.00000000	0.00106459	0.00000000	0.00000000	0.00434347	0.00135548	0.00109387	0.00000000	0.00078740	0.00000000	0.00181718	0.01164813	0.00937864	0.00033906	0.00311836	0.00227348	0.00265283	0.00381503	0.01221861	0.00094869	0.00252180	0.00091040	0.00000000	0.00000000	0.00000000	0.01293327	0.00376756	0.00112864	0.00096824	0.00000000	0.00037291	0.00054393	0.00000000	0.00224608	0.00073507	0.00440864	0.00000000	0.00167517	0.00076788	0.00086736	0.00038709	0.00471425	0.01048409	0.01223093	0.00576546	0.00032989	0.00000000	0.00390355	0.00000000	0.01466968	0.00292066	0.00065888	0.00501881	0.00000000	0.00276660	0.01329423	0.00955248	0.00028785	0.00069705	0.00000000	0.00267313	0.00464674	
Oribacterium	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00048029	0.00000000	0.00000000	0.00043772	0.00000000	0.00025512	0.00046168	0.00000000	0.00062319	0.00000000	0.00032609	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00029719	0.00000000	0.00000000	0.00000000	0.00037174	0.00000000	0.00047181	0.00042866	0.00072481	0.00000000	0.00000000	0.00049460	0.00000000	0.00034575	0.00035086	0.00040448	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00046955	0.00000000	0.00000000	0.00000000	0.00043792	0.00000000	0.00000000	0.00000000	0.00040082	0.00030189	0.00041173	0.00000000	0.00000000	0.00040599	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00038098	0.00047450	0.00000000	0.00035133	0.00000000	0.00000000	0.00060153	0.00000000	0.00043159	0.00000000	0.00000000	0.00032207	0.00096523	0.00054547	0.00032866	0.00000000	0.00000000	0.00043425	
Oscillibacter	0.00000000	0.00675619	0.01059629	0.00461672	0.00059352	0.01094529	0.00829009	0.00000000	0.00265586	0.00053414	0.00452780	0.00747803	0.01158828	0.00482380	0.00761280	0.00247773	0.00197196	0.00000000	0.00605906	0.00081058	0.00062215	0.00540259	0.00926770	0.00336524	0.01274136	0.00498871	0.00729560	0.00611879	0.00510827	0.00197442	0.00065516	0.00240202	0.00000000	0.00121720	0.00278268	0.01166892	0.00480483	0.00507218	0.00796136	0.00452217	0.00993446	0.01001729	0.00046408	0.00106662	0.00365604	0.00050786	0.00227701	0.00134066	0.00731292	0.00164570	0.00226324	0.00817713	0.00774515	0.00496631	0.00570725	0.00543293	0.00560677	0.00321775	0.00528260	0.01024994	0.01214762	0.00231655	0.00267415	0.00268646	0.01364673	0.00175364	0.00080169	0.00477497	0.00144514	0.00266021	0.00252619	0.00019933	0.00604344	0.00318063	0.00109159	0.00206684	0.00050393	0.00137190	0.00200671	0.00593927	0.00065253	0.00572518	0.00000000	0.00350180	0.00308773	
Paenibacillus	0.00000000	0.00078713	0.00090865	0.00000000	0.00000000	0.00078398	0.00000000	0.00000000	0.00119668	0.00000000	0.00061216	0.00173376	0.00200537	0.00081090	0.00000000	0.00046607	0.00000000	0.00000000	0.00000000	0.00035003	0.00062053	0.00130817	0.00000000	0.00124255	0.00066338	0.00048634	0.00000000	0.00077560	0.00162941	0.00074264	0.00000000	0.00095544	0.00000000	0.00109070	0.00099617	0.00112452	0.00102226	0.00062593	0.00132565	0.00038199	0.00122141	0.00127941	0.00041637	0.00044624	0.00000000	0.00000000	0.00146918	0.00000000	0.00075274	0.00106338	0.00075806	0.00116771	0.00152291	0.00038348	0.00097046	0.00033465	0.00055278	0.00055722	0.00108399	0.00056006	0.00103614	0.00096306	0.00124765	0.00112710	0.00153254	0.00053723	0.00031225	0.00101755	0.00110120	0.00132451	0.00045370	0.00000000	0.00043819	0.00098599	0.00103378	0.00072650	0.00000000	0.00145963	0.00072310	0.00189828	0.00063678	0.00060903	0.00000000	0.00029698	0.00091341	
Parabacteroides	0.00316633	0.00597411	0.01818163	0.00188316	0.00282226	0.00327954	0.00143612	0.02105015	0.00299125	0.00195273	0.01737178	0.00788549	0.00300251	0.00537887	0.01745389	0.03399147	0.00218614	0.00400508	0.00574608	0.06128926	0.01616695	0.00000000	0.00000000	0.01476925	0.02949469	0.00201281	0.00255224	0.01608695	0.00443425	0.00152965	0.02678953	0.00354920	0.00290676	0.00800376	0.00098013	0.00237716	0.02804377	0.02472697	0.00813747	0.02203003	0.00260938	0.00494870	0.01919160	0.00364037	0.00941445	0.00997719	0.00733661	0.00292831	0.01254463	0.00498105	0.00190420	0.00120134	0.00079688	0.00510995	0.02414707	0.03637396	0.02489408	0.02167947	0.00238103	0.01103409	0.00665375	0.00345400	0.03089950	0.00684683	0.00364246	0.04927902	0.02260524	0.01349537	0.00918748	0.00349989	0.01356592	0.01794330	0.04619880	0.02875102	0.01056969	0.01546178	0.00260864	0.00376947	0.01767251	0.00276339	0.00873125	0.01982430	0.03327336	0.02476625	0.00099848	
Paraprevotella	0.00000000	0.00057259	0.00000000	0.00000000	0.00000000	0.02149644	0.00000000	0.00000000	0.00471963	0.00000000	0.00158390	0.00000000	0.00000000	0.00000000	0.00626373	0.00000000	0.00000000	0.00000000	0.00000000	0.01971102	0.00000000	0.00000000	0.00000000	0.00000000	0.00056016	0.00000000	0.00000000	0.00000000	0.00000000	0.01057624	0.00246101	0.00000000	0.01463507	0.01036876	0.01694767	0.00000000	0.00000000	0.00000000	0.00044335	0.00000000	0.00000000	0.00000000	0.01264643	0.00000000	0.03228413	0.09997777	0.00000000	0.00000000	0.00745179	0.00000000	0.00104134	0.00051576	0.00000000	0.00772467	0.01493632	0.09660264	0.00870111	0.01090606	0.00000000	0.00000000	0.00000000	0.00118811	0.00000000	0.00215729	0.00000000	0.00000000	0.00000000	0.00618374	0.00210360	0.00000000	0.00000000	0.00799212	0.00000000	0.00000000	0.00000000	0.00441167	0.00168024	0.00000000	0.00000000	0.00000000	0.01052863	0.00000000	0.00078819	0.00000000	0.00000000	
Parasutterella	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00019496	0.00000000	0.00000000	0.00000000	0.00121696	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00125363	0.00025831	0.00000000	0.00023205	0.00000000	0.00000000	0.00043591	0.00024090	0.00104870	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00051198	0.00000000	0.00000000	0.00049334	0.00000000	0.00245559	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00048866	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00065784	
Peptoniphilus	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00017471	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Phascolarctobacterium	0.00344723	0.00318436	0.00000000	0.00000000	0.00464022	0.02506115	0.00000000	0.00000000	0.01647563	0.00000000	0.00438050	0.00128141	0.00000000	0.00287905	0.00000000	0.00575325	0.00000000	0.02714460	0.00000000	0.00384098	0.00000000	0.00205751	0.03149198	0.00000000	0.00492796	0.01429194	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.04855141	0.00000000	0.00000000	0.00000000	0.00377499	0.01086353	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.01080066	0.01773656	0.00762741	0.00000000	0.00000000	0.00376193	0.00000000	0.00000000	0.00000000	0.00691781	0.00000000	0.00617574	0.00000000	0.01030988	0.01144873	0.01039443	0.00000000	0.00000000	0.00000000	0.00000000	0.00421454	0.00000000	0.00000000	0.00000000	0.00436723	0.00000000	0.00000000	0.00000000	0.02036679	0.00000000	0.00000000	0.00537297	0.00000000	0.02560525	0.00000000	0.00244712	0.00214549	0.00582233	0.00980903	0.04545363	0.00997303	0.00283356	
Porphyromonas	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00047329	0.00000000	0.00000000	0.00067710	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	
Prevotella	0.60715805	0.00121634	0.00164927	0.02578205	0.55617742	0.04371366	0.00000000	0.00138363	0.10357226	0.00189367	0.05555832	0.02266330	0.00000000	0.01022998	0.00000000	0.00203276	0.01016933	0.42773628	0.00000000	0.00536486	0.00777132	0.09007171	0.27469241	0.00170234	0.00661515	0.21764085	0.00000000	0.00148440	0.15771817	0.17326969	0.06879827	0.02790317	0.08255236	0.00092156	0.00656895	0.00264516	0.00101975	0.00160843	0.00116050	0.03624752	0.00635076	0.00145288	0.02990239	0.05876741	0.19026805	0.10646154	0.00108418	0.25899138	0.14183791	0.00202238	0.13478751	0.12934591	0.01419098	0.12460840	0.01787594	0.04793780	0.00119644	0.00268311	0.00753149	0.00232231	0.00092259	0.19767794	0.00097340	0.10706635	0.00131257	0.00083844	0.00210939	0.03544272	0.00191988	0.00083184	0.00206468	0.03492260	0.00129995	0.05183497	0.01908901	0.10167898	0.30592007	0.03125037	0.00280469	0.02433503	0.00651205	0.00239248	0.03858671	0.00453380	0.00042799	
