Group	Unconjugated BAs
Control	0.994557369
Control	0.996781795
Control	0.995002563
Control	0.997194747
Control	0.995300461
Control	0.985206895
Control	0.995254328
Control	0.954095295
Control	0.989535878
Control	0.99630261
L.fermentum	0.996442314
L.fermentum	0.994638885
L.fermentum	0.999194657
L.fermentum	0.998150762
L.fermentum	0.993063349
L.fermentum	0.994384409
L.fermentum	0.995164386
L.fermentum	0.974004794
L.fermentum	0.995629569
L.fermentum	0.996020962
L.animalis	0.997644734
L.animalis	0.994686784
L.animalis	0.999161252
L.animalis	0.998877037
L.animalis	0.991507019
L.animalis	0.994163968
L.animalis	0.996490833
L.animalis	0.962241486
L.animalis	0.986802598
L.animalis	0.996037516
L.salivarius	0.995228884
L.salivarius	0.998250016
L.salivarius	0.99903718
L.salivarius	0.99889507
L.salivarius	0.989699872
L.salivarius	0.990921682
L.salivarius	0.997208516
L.salivarius	0.965217151
L.salivarius	0.992711049
L.salivarius	0.994886021
L.reuteri	0.997564461
L.reuteri	0.997022981
L.reuteri	0.999918188
L.reuteri	0.999308404
L.reuteri	0.996368997
L.reuteri	0.994084869
L.reuteri	0.996900291
L.reuteri	0.963446918
L.reuteri	0.997470376
L.reuteri	0.998288161
